TRIES;NPS;NUMBER_VECTORS;1000;5000;10000
1; 1; 1000;  6.565640; 162.479145; 651.799870;
2; 1; 1000;  6.600645; 112.210158; 651.905705;
3; 1; 1000;  6.461021; 112.359208; 653.023980;
1; 2; 1000;  0.033925; 0.480457; 2.681823;
1; 4; 1000;  0.020246; 0.404465; 1.965601;
1; 6; 1000;  0.024599; 0.428542; 1.652881;
1; 8; 1000;  0.021547; 0.470035; 1.454641;
1; 10; 1000;  0.036685; 0.506037; 2.064047;
1; 12; 1000;  0.027819; 0.581747; 1.908860;
1; 14; 1000;  0.028394; 0.519457; 2.330802;
1; 16; 1000;  0.034054; 0.660087; 2.622420;
1; 18; 1000;  0.037883; 0.667270; 2.692907;
1; 20; 1000;  0.039795; 0.718751; 2.867024;
1; 22; 1000;  0.040104; 0.803951; 2.994222;
1; 24; 1000;  0.046397; 0.831880; 3.183748;
1; 26; 1000;  0.048808; 0.906612; 3.349208;
1; 28; 1000;  0.049358; 0.954634; 3.740479;
1; 30; 1000;  0.054189; 1.037833; 3.854994;
1; 32; 1000;  0.050976; 1.110996; 4.106761;
2; 2; 1000;  0.033523; 0.691481; 1.853641;
2; 4; 1000;  0.021004; 0.444434; 2.039631;
2; 6; 1000;  0.027550; 0.495920; 1.616716;
2; 8; 1000;  0.030860; 0.464656; 1.669795;
2; 10; 1000;  0.026635; 0.443397; 1.690151;
2; 12; 1000;  0.029632; 0.483492; 1.783767;
2; 14; 1000;  0.030477; 0.585330; 2.325731;
2; 16; 1000;  0.032480; 0.630851; 2.627673;
2; 18; 1000;  0.035994; 0.675243; 2.620675;
2; 20; 1000;  0.035830; 0.730200; 2.773208;
2; 22; 1000;  0.037348; 0.795708; 2.965524;
2; 24; 1000;  0.046098; 0.827660; 3.163510;
2; 26; 1000;  0.045887; 0.906165; 3.626509;
2; 28; 1000;  0.054644; 0.952333; 3.581274;
2; 30; 1000;  0.049233; 1.077394; 3.831075;
2; 32; 1000;  0.050728; 1.088332; 4.059965;
3; 2; 1000;  0.033624; 0.692601; 1.906937;
3; 4; 1000;  0.020083; 0.420775; 1.427690;
3; 6; 1000;  0.024911; 0.481037; 1.470750;
3; 8; 1000;  0.026713; 0.431767; 1.515634;
3; 10; 1000;  0.031146; 0.511831; 1.940211;
3; 12; 1000;  0.028541; 0.483253; 1.836720;
3; 14; 1000;  0.029724; 0.613053; 2.305395;
3; 16; 1000;  0.035745; 0.689917; 2.419286;
3; 18; 1000;  0.038021; 0.663642; 2.630510;
3; 20; 1000;  0.039827; 0.758432; 2.723876;
3; 22; 1000;  0.038337; 0.762643; 3.122177;
3; 24; 1000;  0.047623; 0.856823; 3.172110;
3; 26; 1000;  0.047210; 0.997291; 3.351335;
3; 28; 1000;  0.049000; 0.947129; 3.681802;
3; 30; 1000;  0.055476; 1.044240; 3.835995;
3; 32; 1000;  0.054987; 1.148932; 4.048710;
